JID,SID,Max,Med,Min,Pay_Period,Currency
3378133231,1,30.0,,22.0,HOURLY,USD
3690843087,2,65000.0,,55000.0,YEARLY,USD
3691794313,3,22.0,,19.0,HOURLY,USD
3691795389,4,70000.0,,68000.0,YEARLY,USD
3691797089,5,22.0,,18.0,HOURLY,USD
3691797249,6,26.0,,21.0,HOURLY,USD
3691797979,7,120250.0,,98924.0,YEARLY,USD
3691798879,8,85000.0,,75000.0,YEARLY,USD
3691799449,9,135000.0,,120000.0,YEARLY,USD
3691799471,10,135300.0,,98400.0,YEARLY,USD
3691799474,11,18.0,,16.0,HOURLY,USD
3692300372,12,280000.0,,180000.0,YEARLY,USD
3692301162,13,73.0,,65.0,HOURLY,USD
3692301169,14,63000.0,,60000.0,YEARLY,USD
3692301171,15,48000.0,,35000.0,YEARLY,USD
3692302089,16,80.0,,70.0,HOURLY,USD
3696362362,17,68000.0,,61000.0,YEARLY,USD
3696373506,18,75.0,,55.0,YEARLY,USD
3696388859,19,255525.0,,185700.0,YEARLY,USD
3696394452,20,64.14,,64.14,HOURLY,USD
3696396337,21,40.0,,35.0,HOURLY,USD
3696396357,22,175000.0,,100000.0,YEARLY,USD
3699947010,23,25.0,,18.26,HOURLY,USD
3700100103,24,62000.0,,58000.0,YEARLY,USD
3700101731,25,23.5,,15.5,HOURLY,USD
3700106733,26,32.0,,29.0,HOURLY,USD
3700107001,27,23.5,,15.5,HOURLY,USD
3700111693,28,85000.0,,70000.0,YEARLY,USD
3700124761,29,150000.0,,150000.0,YEARLY,USD
3700138521,30,37000.0,,35000.0,YEARLY,USD
3700144594,31,75000.0,,70000.0,YEARLY,USD
3700147810,32,150000.0,,125000.0,YEARLY,USD
3690804650,33,190000.0,,127000.0,YEARLY,USD
3690813856,34,75000.0,,70000.0,YEARLY,USD
3690821627,35,200000.0,,200000.0,YEARLY,USD
3690832043,36,70000.0,,70000.0,YEARLY,USD
3690834347,37,75000.0,,65000.0,YEARLY,USD
3690837484,38,50000.0,,50000.0,YEARLY,USD
3690841034,39,112372.0,,83433.0,YEARLY,USD
3690841406,40,110000.0,,100000.0,YEARLY,USD
3690843414,41,145000.0,,95000.0,YEARLY,USD
3690846882,42,275000.0,,200000.0,YEARLY,USD
3690849145,43,300000.0,,250000.0,YEARLY,USD
3690850853,44,125000.0,,100000.0,YEARLY,USD
3690853209,45,20.0,,18.0,HOURLY,USD
3690859360,46,21.0,,20.0,HOURLY,USD
3690860158,47,75000.0,,65000.0,YEARLY,USD
3690867240,48,48.0,,40.0,HOURLY,USD
3690870151,49,115000.0,,89949.0,YEARLY,USD
3692362958,50,24.0,,22.0,HOURLY,USD
3692363920,51,85000.0,,80000.0,YEARLY,USD
3692364560,52,300000.0,,250000.0,YEARLY,USD
3692368330,53,55189.0,,45052.0,YEARLY,USD
3696987546,54,306000.0,,208000.0,YEARLY,USD
3696987686,55,,17.3,,HOURLY,USD
3696988111,56,175000.0,,119000.0,YEARLY,USD
3696990096,57,306000.0,,208000.0,YEARLY,USD
3696990991,58,,4000.0,,MONTHLY,USD
3696990992,59,,4000.0,,MONTHLY,USD
3696990993,60,,4000.0,,MONTHLY,USD
3696993074,61,,17.3,,HOURLY,USD
3696994822,62,,4000.0,,MONTHLY,USD
3696994861,63,,4000.0,,MONTHLY,USD
3696995466,64,,4000.0,,MONTHLY,USD
3696997069,65,,4000.0,,MONTHLY,USD
3696997071,66,,4000.0,,MONTHLY,USD
3696998251,67,100000.0,,75000.0,YEARLY,USD
3700191806,68,19.0,,17.0,HOURLY,USD
3700326545,69,25.0,,18.0,HOURLY,USD
3700333196,70,60000.0,,40000.0,YEARLY,USD
3700345653,71,80000.0,,60000.0,YEARLY,USD
3700347882,72,70000.0,,65000.0,YEARLY,USD
3700368597,73,85000.0,,65000.0,YEARLY,USD
3700377536,74,55000.0,,45000.0,YEARLY,USD
3700386731,75,,18.0,,HOURLY,USD
3700388143,76,85000.0,,80000.0,YEARLY,USD
3700389632,77,125000.0,,68000.0,YEARLY,USD
3700391622,78,85000.0,,70000.0,YEARLY,USD
3700394316,79,25.0,,20.0,HOURLY,USD
3700398203,80,60000.0,,60000.0,YEARLY,USD
3700533944,81,,17.15,,HOURLY,USD
3700534083,82,,17.0,,HOURLY,USD
3700536480,83,256500.0,,139650.0,YEARLY,USD
3700541621,84,13.5,,10.25,HOURLY,USD
3700542410,85,184511.0,,104711.0,YEARLY,USD
3700542993,86,205000.0,,112500.0,YEARLY,USD
3700545279,87,15.0,,12.25,HOURLY,USD
3700545776,88,95000.0,,83000.0,YEARLY,USD
3700545792,89,191000.0,,114000.0,YEARLY,USD
3700545914,90,,31.0,,HOURLY,USD
3700545915,91,39.0,,31.0,HOURLY,USD
3700545931,92,39.0,,31.0,HOURLY,USD
3700545942,93,39.0,,31.0,HOURLY,USD
3700546660,94,39.0,,31.0,HOURLY,USD
3700546700,95,39.0,,31.0,HOURLY,USD
3700546912,96,175000.0,,125000.0,YEARLY,USD
3700547704,97,28.0,,24.0,HOURLY,USD
3700547716,98,,31.0,,HOURLY,USD
3700547722,99,39.0,,31.0,HOURLY,USD
3700547732,100,39.0,,31.0,HOURLY,USD
3700548312,101,200700.0,,167400.0,YEARLY,USD
3700548314,102,,21.0,,HOURLY,USD
3700548315,103,,21.0,,HOURLY,USD
3700548351,104,39.0,,31.0,HOURLY,USD
3700548550,105,175000.0,,125000.0,YEARLY,USD
3700548756,106,105549.28,,68096.31,YEARLY,USD
3700549188,107,39.0,,31.0,HOURLY,USD
3700549194,108,39.0,,31.0,HOURLY,USD
3700549196,109,42.0,,28.0,HOURLY,USD
3700549219,110,47.0,,25.0,HOURLY,USD
3700549581,111,,13.85,,HOURLY,USD
3700549583,112,,13.85,,HOURLY,USD
3700549640,113,40.0,,30.0,HOURLY,USD
3700549696,114,247500.0,,133300.0,YEARLY,USD
3700549721,115,21.9,,14.55,HOURLY,USD
3700550019,116,185000.0,,115000.0,YEARLY,USD
3700550106,117,39.0,,31.0,HOURLY,USD
3700550107,118,39.0,,31.0,HOURLY,USD
3700550116,119,39.0,,31.0,HOURLY,USD
3700550306,120,175000.0,,125000.0,YEARLY,USD
3700550327,121,175000.0,,125000.0,YEARLY,USD
3700550924,122,175000.0,,125000.0,YEARLY,USD
3700550930,123,150000.0,,110000.0,YEARLY,USD
3700551068,124,39.0,,31.0,HOURLY,USD
3700551078,125,35.0,,19.0,HOURLY,USD
3700551092,126,39.0,,31.0,HOURLY,USD
3700551241,127,93000.0,,73000.0,YEARLY,USD
3700551319,128,175000.0,,125000.0,YEARLY,USD
3700551320,129,175000.0,,125000.0,YEARLY,USD
3700551805,130,95000.0,,74500.0,YEARLY,USD
3700551840,131,106700.0,,59300.0,YEARLY,USD
3700551891,132,175000.0,,125000.0,YEARLY,USD
